GHRWAGE,GHRWGE_1,GOUTPH_1,GOUTPH_2,GOUTPHR,HRWAGE,LHRWAGE,LOUTPHR,LWKHOURS,OUTPHR,T,WKEARNS,WKHOURS,YEAR,EQ01,EQ02,EQ03
1e-37,1e-37,1e-37,1e-37,1e-37,3.06501245498657,1.12005162239075,3.939638,3.69635152816772,51.4,1,123.52,40.3,1947,1.52148824976912e+272,-1.2232472901015e-294,-7.7804094964513e-245
0.006743193,1e-37,1e-37,1e-37,0.0362982749938965,3.08575,1.12679481506348,3.97593641281128,3.68887948989868,53.3,2,123.43,40,1948,0,0,0
0.05021882,0.006743193,0.0362982749938965,1e-37,0.0167446136474609,3.24467,1.17701363563538,3.992681,3.673766,54.2,3,127.84,39.4,1949,0,0,0
0.03568983,0.05021882,0.0167446136474609,0.0362982749938965,0.0625762939453125,3.362563,1.21270346641541,4.05525732040405,3.683867,57.7,4,133.83,39.8,1950,0,0,0
0.00523149967193604,0.03568983,0.0625762939453125,0.0167446136474609,0.029037,3.3802,1.217935,4.08429431915283,3.68637633323669,59.4,5,134.87,39.9,1951,2.22507385902527e-308,1.87740606829354e-308,1.87740606829354e-308
0.0263423919677734,0.00523149967193604,0.029037,0.0625762939453125,0.02164936,3.470426,1.24427735805511,4.10594367980957,3.68637633323669,60.7,6,138.47,39.9,1952,1.11253742852292e-308,1.11253747189471e-308,1.11253751476462e-308
0.05072653,0.0263423919677734,0.02164936,0.029037,0.0228023529052734,3.65101027488709,1.29500389099121,4.128746,3.678829,62.1,7,144.58,39.6,1953,1.11256027133682e-308,1.11255602734524e-308,1.11255284435155e-308
0.0178118944168091,0.05072653,0.0228023529052734,0.02164936,0.0143885612487793,3.71662425994873,1.31281578540802,4.14313459396362,3.66612243652344,63,8,145.32,39.1,1954,1.14527401931872e-308,1.14811112769124e-308,1.15092065011848e-308
0.04016471,0.0178118944168091,0.0143885612487793,0.0228023529052734,0.0281710624694824,3.86893963813782,1.35298049449921,4.17130565643311,3.678829,64.8,9,153.21,39.6,1955,1.94694280918749e-308,2.15554348342254e-308,1.94694280918749e-308
0.03775692,0.04016471,0.0281710624694824,0.0143885612487793,0.00615358352661133,4.017812,1.39073741436005,4.177459,3.67122459411621,65.2,10,157.9,39.3,1956,9.80514649882261e+272,-5.28442829367595e-294,-2.92909534015139e-244
0.0136904716491699,0.03775692,0.00615358352661133,0.0281710624694824,0.01974249,4.073196,1.40442788600922,4.1972017288208,3.65842032432556,66.5,11,158.04,38.8,1957,1.6688053938804e-308,1.6688053938804e-308,1.6688053938804e-308
0.00370419025421143,0.0136904716491699,0.01974249,0.00615358352661133,0.022305965423584,4.08831167221069,1.408132,4.21950769424439,3.650658,68,12,157.4,38.5,1958,1.11259210114418e-308,1.11258361316101e-308,1.11257724717364e-308
0.0268303155899048,0.00370419025421143,0.022305965423584,0.01974249,0.0318408,4.199487,1.43496239185333,4.2513484954834,3.66356158256531,70.2,13,163.78,39,1959,1.11253692926123e-308,1.11253692926189e-308,1.11253692926254e-308
